X,logFC,AveExpr,t,P.Value,adj.P.Val,B
203757_s_at,-5.65142013534956,8.3173697438872,-8.42087503062855,9.79462049742885e-07,0.000221289618056579,6.03782836178148
207092_at,5.3751055702422,8.4862382161216,8.17092085855968,1.38159504719555e-06,0.000260995265199032,5.70428883708254
211657_at,-5.24959967704389,8.95836732519485,-9.27119633605675,3.20140286156139e-07,0.000148336187674465,7.11307596354241
204580_at,-5.08637061912679,7.0849698340084,-5.78706573449234,5.4572065918329e-05,0.00179526335985839,2.08271107830208
205916_at,-4.96442740389118,7.72928069051224,-3.96813329084546,0.0015001637146241,0.0156918789166009,-1.21226317095779
219295_s_at,4.88322564798181,7.87029944333655,8.06643267805453,1.59870656086119e-06,0.000276611649414829,5.56240999070736
228409_at,4.69535895922287,9.10281515713011,8.41083153547217,9.92956599805402e-07,0.000221909689904983,6.02458388076093
206243_at,4.68512269916067,7.30344129228382,9.26131773002535,3.2418340027775e-07,0.000148947289161227,7.10109163928918
204351_at,-4.68183826510505,8.99597049809099,-6.43054631306369,1.87743833032858e-05,0.00097357813009064,3.14194034040904
214451_at,-4.63299293817866,8.68440321158081,-7.87302944987982,2.10177493885095e-06,0.000314602119719355,5.2959209195893
201890_at,-4.62136415355494,7.42358574490335,-7.63004555954168,2.98304322102231e-06,0.000366177522211778,4.95386176372033
240304_s_at,-4.61576731101024,8.59407253182752,-7.66719487947992,2.82621242098489e-06,0.000360193855751397,5.00668762602477
217428_s_at,-4.6109709998147,7.32934456363418,-18.5092945924636,5.61848487260022e-11,3.07190660409417e-06,14.6567753543161
203548_s_at,4.59135823080962,10.0948125426253,7.21154747693093,5.5475736638182e-06,0.00049805187203491,4.34533304344358
219140_s_at,4.57313954596842,9.07066156563084,8.80606462591824,5.84494722929107e-07,0.000167315439665701,6.53603703884433
1552519_at,4.56721223040935,8.1470500278193,9.95994877831517,1.36688974241265e-07,9.11398739834288e-05,7.92086210326498
205913_at,4.53392061830518,10.506395208792,8.38657934514335,1.02636227276801e-06,0.000221909689904983,5.99254820975379
235978_at,4.50075767876569,8.65286668408237,5.99928682462331,3.81398708179093e-05,0.00145824995592251,2.43881234448222
